 0.20063E+02; 0.24905E+00; 0.30092E+02; 0.19738E+01; 0.28446E+01; 0.17071E+02; 0.79925E+02; 0.92754E+00; 0.25148E+00; 0.20112E+02; 0.55617E+05; 0.25288E+02; 0.40705E+02; 0.89985E+00;-0.39182E-01; 0.32871E-01; 0.12345E-02;-0.96796E+00; normal    
 0.20254E+02; 0.25066E+00; 0.29870E+02; 0.20046E+01; 0.28151E+01; 0.17019E+02; 0.80035E+02; 0.90171E+00; 0.24832E+00; 0.20246E+02; 0.55579E+05; 0.25072E+02; 0.40730E+02; 0.89975E+00; 0.71703E-02; 0.67528E-02;-0.10335E-02;-0.30511E+00; normal    
 0.20094E+02; 0.24921E+00; 0.29912E+02; 0.20189E+01; 0.28455E+01; 0.17003E+02; 0.80205E+02; 0.89941E+00; 0.25093E+00; 0.19881E+02; 0.56672E+05; 0.25298E+02; 0.40736E+02; 0.89960E+00; 0.29650E-01;-0.44417E-02; 0.53023E-03; 0.17447E+00; normal    
 0.19814E+02; 0.24918E+00; 0.29859E+02; 0.20109E+01; 0.28491E+01; 0.17111E+02; 0.79728E+02; 0.90723E+00; 0.24787E+00; 0.19901E+02; 0.55419E+05; 0.25416E+02; 0.40828E+02; 0.90539E+00; 0.17302E-01; 0.11288E-01;-0.30460E-02; 0.25985E+00; normal    
 0.20343E+02; 0.24856E+00; 0.30384E+02; 0.19922E+01; 0.28672E+01; 0.17269E+02; 0.80275E+02; 0.90144E+00; 0.24439E+00; 0.19935E+02; 0.57029E+05; 0.25220E+02; 0.40771E+02; 0.90205E+00;-0.10488E-01;-0.60799E-02;-0.55957E-02; 0.22313E+00; normal    
 0.19954E+02; 0.25112E+00; 0.30321E+02; 0.20095E+01; 0.28666E+01; 0.16979E+02; 0.79833E+02; 0.90083E+00; 0.24928E+00; 0.19921E+02; 0.56931E+05; 0.25344E+02; 0.40820E+02; 0.90297E+00; 0.14892E-01;-0.70785E-02;-0.13107E-02;-0.13308E+00; normal    
 0.19985E+02; 0.25144E+00; 0.29868E+02; 0.20046E+01; 0.28635E+01; 0.17075E+02; 0.79983E+02; 0.90658E+00; 0.24651E+00; 0.19787E+02; 0.56714E+05; 0.25269E+02; 0.40770E+02; 0.90341E+00; 0.81528E-02; 0.15958E-02;-0.37263E-02; 0.17021E-01; normal    
 0.19947E+02; 0.24906E+00; 0.29845E+02; 0.20077E+01; 0.28567E+01; 0.17030E+02; 0.80132E+02; 0.89672E+00; 0.24759E+00; 0.20018E+02; 0.56368E+05; 0.25220E+02; 0.40705E+02; 0.90081E+00; 0.12627E-01;-0.39539E-02;-0.24349E-02;-0.38811E-01; normal    
 0.19854E+02; 0.25394E+00; 0.29791E+02; 0.19846E+01; 0.28176E+01; 0.17239E+02; 0.79771E+02; 0.89622E+00; 0.24926E+00; 0.19837E+02; 0.55982E+05; 0.25149E+02; 0.40695E+02; 0.89839E+00;-0.21807E-01;-0.11506E-02;-0.39157E-03;-0.22531E+00; normal    
 0.19921E+02; 0.24878E+00; 0.29941E+02; 0.20015E+01; 0.28541E+01; 0.16998E+02; 0.79983E+02; 0.90044E+00; 0.25229E+00; 0.19753E+02; 0.55967E+05; 0.25159E+02; 0.40724E+02; 0.90066E+00; 0.27050E-02; 0.25094E-02; 0.25516E-02;-0.35587E+00; normal    
